epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8211.25,1.96393,1.62345,1.33371,0.70544,0.54627,0.61153,0.22388,2.27298,1.64586,1.93165,0.0005941,0.0005941,0.0005941
43,10271.7,1.9666,1.62554,1.33205,0.70696,0.54802,0.61286,0.22426,2.27075,1.63984,1.93057,0.0005842,0.0005842,0.0005842
44,12382.7,1.96358,1.61357,1.32775,0.7059,0.54896,0.61343,0.22473,2.26763,1.63717,1.93141,0.0005743,0.0005743,0.0005743
45,14495.3,1.95336,1.61364,1.32682,0.70946,0.5487,0.61452,0.22523,2.26515,1.63203,1.93082,0.0005644,0.0005644,0.0005644
46,16614,1.95711,1.59919,1.32358,0.71026,0.55051,0.61565,0.22616,2.2596,1.62138,1.92525,0.0005545,0.0005545,0.0005545
47,18796.9,1.95549,1.59683,1.32246,0.71211,0.55119,0.61652,0.22617,2.25999,1.61631,1.92545,0.0005446,0.0005446,0.0005446
48,20830.4,1.9499,1.58494,1.3196,0.71135,0.55252,0.61775,0.22672,2.25725,1.60983,1.92369,0.0005347,0.0005347,0.0005347
49,2138.05,1.94642,1.58718,1.32077,0.71043,0.55233,0.6177,0.22697,2.26041,1.61419,1.92749,0.0005248,0.0005248,0.0005248
50,4228.4,1.94276,1.5854,1.32004,0.70928,0.55402,0.61789,0.22691,2.26284,1.61668,1.92945,0.0005149,0.0005149,0.0005149
51,6218.31,1.94442,1.59435,1.31966,0.70926,0.55377,0.61726,0.22696,2.26362,1.61373,1.92985,0.000505,0.000505,0.000505
52,8228.58,1.94667,1.58759,1.32199,0.71072,0.55392,0.61772,0.22717,2.26307,1.61286,1.92979,0.0004951,0.0004951,0.0004951
53,10424,1.95027,1.58909,1.32175,0.7096,0.55483,0.61776,0.22738,2.26233,1.6102,1.92912,0.0004852,0.0004852,0.0004852
54,12561.4,1.94972,1.58252,1.31915,0.71055,0.55423,0.6179,0.22744,2.26256,1.60646,1.93006,0.0004753,0.0004753,0.0004753
